"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"coffee","0","stain","bottom","415","o","112","filler","filler"
"cactus","1","bee","top","374","x","112","filler","filler"
"shoe","1","laces","bottom","370","o","112","test","top"
"milk","1","virus","top","431","x","112","filler","filler"
"ocean","1","floor","top","584","x","112","test","bottom"
"shoe","1","soles","top","473","x","112","test","bottom"
"wood","0","freshner","bottom","371","o","112","filler","filler"
"ocean","1","surface","bottom","5","o","112","test","top"
"horse","1","hooves","top","560","x","112","test","bottom"
"dog","1","collar","top","450","x","112","test","top"
"job","0","language","top","348","o","112","filler","filler"
"bicycle","1","seat","top","505","x","112","test","top"
"flower","1","stem","top","614","x","112","test","bottom"
"urban","1","tower","bottom","530","x","112","filler","filler"
"shower","1","spout","bottom","687","o","112","test","top"
"bicycle","1","tire","bottom","463","o","112","test","bottom"
"bedroom","1","carpet","bottom","402","o","112","test","bottom"
"house","1","attic","bottom","300","o","112","test","top"
"horse","1","mane","bottom","336","o","112","test","top"
"table","1","cloth","bottom","256","o","112","test","top"
"grain","1","controversy","bottom","417","x","112","filler","filler"
"birth","1","cramp","bottom","409","x","112","filler","filler"
"corn","1","seed","bottom","497","o","112","test","bottom"
"cable","1","brake","top","671","x","112","filler","filler"
"urban","1","riot","top","485","o","112","filler","filler"
"corn","1","stalk","top","381","x","112","test","top"
"bear","1","claw","bottom","419","o","112","test","bottom"
"broom","1","bristles","bottom","410","o","112","test","bottom"
"honey","1","muffin","bottom","418","o","112","filler","filler"
"clock","1","radio","bottom","391","o","112","test","bottom"
"cowboy","1","hat","top","463","x","112","test","top"
"coconut","1","milk","bottom","526","o","112","test","bottom"
"desk","1","lamp","top","646","x","112","test","top"
"table","1","leg","top","590","x","112","test","bottom"
"mushroom","1","stalk","top","467","x","112","test","bottom"
"cane","1","sugar","top","366","o","112","filler","filler"
"student","1","vote","top","477","x","112","filler","filler"
"summer","1","money","top","340","o","112","filler","filler"
"water","1","bird","top","531","x","112","filler","filler"
"bird","1","talon","bottom","516","o","112","test","bottom"
"olive","1","fertilizer","bottom","627","x","112","filler","filler"
"mushroom","1","cap","bottom","434","o","112","test","top"
"chocolate","1","shavings","top","290","x","112","filler","filler"
"moth","1","wing","bottom","530","o","112","filler","filler"
"grain","1","law","top","421","o","112","filler","filler"
"elephant","1","foot","bottom","366","o","112","test","bottom"
"olive","1","season","top","381","o","112","filler","filler"
"sugar","1","alcohol","top","657","x","112","filler","filler"
"cactus","1","chipmunk","bottom","538","o","112","filler","filler"
"nose","1","itch","bottom","372","o","112","filler","filler"
"flower","0","petal","bottom","321","o","112","test","top"
"winter","1","book","top","435","o","112","filler","filler"
"fruit","1","slice","bottom","374","o","112","filler","filler"
"hotel","1","roof","bottom","409","o","112","test","top"
"cane","1","juice","bottom","536","x","112","filler","filler"
"coal","1","town","top","585","x","112","filler","filler"
"tax","1","pressure","top","417","o","112","filler","filler"
"tree","1","leaves","bottom","733","o","112","test","top"
"tree","1","roots","top","605","x","112","test","bottom"
"birth","1","rash","top","305","o","112","filler","filler"
"milk","1","bacterium","bottom","414","o","112","filler","filler"
"clock","1","tower","top","396","x","112","test","top"
"summer","0","clothes","bottom","321","x","112","filler","filler"
"job","1","competition","bottom","626","x","112","filler","filler"
"mountain","1","peak","bottom","459","o","112","test","top"
"cowboy","1","boot","bottom","446","o","112","test","bottom"
"church","1","steeple","top","562","x","112","test","top"
"mountain","1","base","top","544","x","112","test","bottom"
"steam","0","turbine","bottom","415","x","112","filler","filler"
"church","0","pew","bottom","1202","o","112","test","bottom"
"rain","1","cloud","bottom","537","o","112","test","top"
"trouser","1","hem","top","453","x","112","test","bottom"
"family","0","cow","top","449","o","112","filler","filler"
"bird","1","eye","top","849","x","112","test","top"
"college","1","lake","top","354","o","112","filler","filler"
"car","1","wheels","bottom","512","o","112","test","bottom"
"broom","1","handle","top","545","x","112","test","top"
"winter","1","show","bottom","524","x","112","filler","filler"
"fruit","1","food","top","510","x","112","filler","filler"
"desk","0","drawer","bottom","445","o","112","test","bottom"
"plastic","1","shortage","bottom","973","x","112","filler","filler"
"air","1","current","bottom","443","x","112","filler","filler"
"honey","1","soup","top","543","x","112","filler","filler"
"car","1","windows","top","671","x","112","test","top"
"dog","0","paw","bottom","452","o","112","test","bottom"
"bear","1","snout","top","603","x","112","test","top"
"steam","1","lock","top","609","o","112","filler","filler"
"pine","1","oil","top","687","x","112","filler","filler"
"street","1","light","bottom","416","o","112","test","top"
"sugar","1","extract","bottom","475","o","112","filler","filler"
"pine","1","bark","bottom","507","o","112","filler","filler"
"rain","1","puddle","top","539","x","112","test","bottom"
"hotel","1","lobby","top","645","x","112","test","bottom"
"coconut","1","tree","top","638","x","112","test","top"
"street","0","corner","top","370","x","112","test","bottom"
"cable","1","pulley","bottom","543","o","112","filler","filler"
"chocolate","1","powder","bottom","557","o","112","filler","filler"
"college","1","property","bottom","505","x","112","filler","filler"
"shower","1","drain","top","428","x","112","test","bottom"
"house","1","cellar","top","480","x","112","test","bottom"
"family","1","garden","bottom","417","x","112","filler","filler"
"plastic","1","report","top","525","o","112","filler","filler"
"tax","1","wealth","bottom","574","x","112","filler","filler"
"student","1","accusation","bottom","641","o","112","filler","filler"
"bottle","1","coaster","bottom","501","o","112","test","bottom"
"wood","1","stove","top","649","x","112","filler","filler"
