"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"coconut","1","tree","top","781","x","113","test","top"
"bear","1","claw","bottom","581","o","113","test","bottom"
"water","1","algae","bottom","511","o","113","filler","filler"
"college","1","lake","top","480","o","113","filler","filler"
"plastic","1","shortage","bottom","462","x","113","filler","filler"
"elephant","1","foot","bottom","416","o","113","test","bottom"
"cowboy","1","boot","bottom","431","o","113","test","bottom"
"horse","1","mane","bottom","450","o","113","test","top"
"floor","1","rug","top","431","x","113","test","bottom"
"student","1","vote","top","569","x","113","filler","filler"
"cable","1","pulley","bottom","509","o","113","filler","filler"
"flower","1","stem","top","523","x","113","test","bottom"
"rain","1","cloud","bottom","518","o","113","test","top"
"car","1","windows","top","419","x","113","test","top"
"mushroom","1","stalk","top","489","x","113","test","bottom"
"cane","1","juice","bottom","617","x","113","filler","filler"
"moth","1","shape","top","428","x","113","filler","filler"
"winter","1","book","top","466","o","113","filler","filler"
"moth","1","wing","bottom","387","o","113","filler","filler"
"bird","1","eye","top","431","x","113","test","top"
"bird","1","talon","bottom","434","o","113","test","bottom"
"desk","1","lamp","top","863","x","113","test","top"
"car","1","wheels","bottom","419","o","113","test","bottom"
"air","1","power","top","811","o","113","filler","filler"
"ocean","1","surface","bottom","472","o","113","test","top"
"rain","1","puddle","top","466","x","113","test","bottom"
"student","1","accusation","bottom","509","o","113","filler","filler"
"winter","1","show","bottom","586","x","113","filler","filler"
"honey","1","muffin","bottom","523","o","113","filler","filler"
"house","1","attic","bottom","460","o","113","test","top"
"tree","1","roots","top","593","x","113","test","bottom"
"street","1","light","bottom","480","o","113","test","top"
"wood","1","freshner","bottom","418","o","113","filler","filler"
"pine","1","bark","bottom","352","o","113","filler","filler"
"olive","1","season","top","397","o","113","filler","filler"
"bottle","1","cap","top","434","x","113","test","top"
"trouser","1","buckle","bottom","556","o","113","test","top"
"church","1","pew","bottom","501","o","113","test","bottom"
"cable","1","brake","top","579","x","113","filler","filler"
"nose","1","itch","bottom","671","o","113","filler","filler"
"broom","1","bristles","bottom","723","o","113","test","bottom"
"coffee","1","stain","bottom","708","o","113","filler","filler"
"dog","1","collar","top","692","x","113","test","top"
"college","1","property","bottom","733","x","113","filler","filler"
"clock","1","radio","bottom","533","o","113","test","bottom"
"mountain","1","base","top","658","x","113","test","bottom"
"air","1","current","bottom","702","x","113","filler","filler"
"coal","1","town","top","564","x","113","filler","filler"
"bedroom","1","curtains","top","851","x","113","test","top"
"table","1","cloth","bottom","801","o","113","test","top"
"steam","1","turbine","bottom","685","x","113","filler","filler"
"honey","1","soup","top","544","x","113","filler","filler"
"horse","1","hooves","top","639","x","113","test","bottom"
"corn","1","stalk","top","612","x","113","test","top"
"family","1","garden","bottom","747","x","113","filler","filler"
"shoe","1","soles","top","415","x","113","test","bottom"
"pine","1","oil","top","381","x","113","filler","filler"
"cactus","1","chipmunk","bottom","668","o","113","filler","filler"
"house","1","cellar","top","561","x","113","test","bottom"
"street","1","corner","top","1595","x","113","test","bottom"
"floor","1","lamp","bottom","521","o","113","test","top"
"sugar","1","alcohol","top","481","x","113","filler","filler"
"urban","1","tower","bottom","2672","x","113","filler","filler"
"shoe","1","laces","bottom","484","o","113","test","top"
"broom","1","handle","top","533","x","113","test","top"
"mushroom","1","cap","bottom","852","o","113","test","top"
"bear","1","snout","top","417","x","113","test","top"
"job","1","language","top","425","o","113","filler","filler"
"grain","1","controversy","bottom","642","x","113","filler","filler"
"table","1","leg","top","476","x","113","test","bottom"
"trouser","1","hem","top","358","x","113","test","bottom"
"milk","1","virus","top","399","x","113","filler","filler"
"mountain","1","peak","bottom","291","o","113","test","top"
"coal","1","country","bottom","419","o","113","filler","filler"
"cane","1","sugar","top","351","o","113","filler","filler"
"coffee","1","tension","top","493","x","113","filler","filler"
"water","1","bird","top","303","x","113","filler","filler"
"chocolate","1","shavings","top","320","x","113","filler","filler"
"plastic","1","report","top","140","o","113","filler","filler"
"summer","1","clothes","bottom","664","x","113","filler","filler"
"elephant","1","ear","top","364","x","113","test","top"
"steam","1","lock","top","923","o","113","filler","filler"
"cowboy","1","hat","top","596","x","113","test","top"
"coconut","1","milk","bottom","496","o","113","test","bottom"
"olive","1","fertilizer","bottom","570","x","113","filler","filler"
"birth","1","cramp","bottom","401","x","113","filler","filler"
"hotel","1","roof","bottom","419","o","113","test","top"
"oil","1","moisturizer","bottom","495","x","113","filler","filler"
"grain","1","law","top","498","o","113","filler","filler"
"bedroom","1","carpet","bottom","417","o","113","test","bottom"
"job","1","competition","bottom","412","x","113","filler","filler"
"fruit","1","food","top","497","x","113","filler","filler"
"milk","1","bacterium","bottom","481","o","113","filler","filler"
"flower","1","petal","bottom","412","o","113","test","top"
"chocolate","1","powder","bottom","529","o","113","filler","filler"
"wood","1","stove","top","582","x","113","filler","filler"
"birth","1","rash","top","588","o","113","filler","filler"
"tax","1","pressure","top","757","o","113","filler","filler"
"dog","1","paw","bottom","1061","o","113","test","bottom"
"bicycle","1","tire","bottom","496","o","113","test","bottom"
"nose","1","sound","top","465","x","113","filler","filler"
"fruit","1","slice","bottom","403","o","113","filler","filler"
"shower","1","spout","bottom","607","o","113","test","top"
"sugar","1","extract","bottom","880","o","113","filler","filler"
"corn","1","seed","bottom","807","o","113","test","bottom"
"bottle","1","coaster","bottom","905","o","113","test","bottom"
"cactus","1","bee","top","390","x","113","filler","filler"
"urban","1","riot","top","641","o","113","filler","filler"
"desk","1","drawer","bottom","669","o","113","test","bottom"
"church","1","steeple","top","1039","x","113","test","top"
"ocean","1","floor","top","761","x","113","test","bottom"
"shower","1","drain","top","758","x","113","test","bottom"
"bicycle","1","seat","top","397","x","113","test","top"
"family","1","cow","top","689","o","113","filler","filler"
"hotel","1","lobby","top","659","x","113","test","bottom"
"oil","1","treatment","top","368","o","113","filler","filler"
"clock","1","tower","top","421","x","113","test","top"
"tree","1","leaves","bottom","497","o","113","test","top"
"summer","1","money","top","510","o","113","filler","filler"
"tax","1","wealth","bottom","384","x","113","filler","filler"
